filename,location,dataset,num_annotators,time_h,time_min,time_sec,total_duration,washing_duration,movement_1,movement_2,movement_3,movement_4,movement_5,movement_6,movement_7,movement_0,ring,armband,long_nails
2020-06-28_03-33-35_camera102.mp4,Ķirurģija,DataSet1,4.0,3.0,33.0,35.0,63.6,49.1,2.5,10.1,5.0,4.9,1.7,3.0,0.0,21.9,0.0,0.0,0.0
2020-06-28_03-34-43_camera102.mp4,Ķirurģija,DataSet1,4.0,3.0,34.0,43.0,20.6,12.6,0.0,2.7,2.1,2.3,2.7,2.2,0.0,0.6,0.0,0.0,0.0
2020-06-28_03-37-36_camera102.mp4,Ķirurģija,DataSet1,4.0,3.0,37.0,36.0,74.3,52.2,2.6,0.0,4.6,0.0,6.2,0.0,0.9,37.9,0.0,0.0,0.0
2020-06-28_03-57-36_camera102.mp4,Ķirurģija,DataSet1,4.0,3.0,57.0,36.0,23.2,15.0,0.4,0.0,0.5,0.0,1.2,0.0,0.7,12.1,0.0,0.0,0.0
2020-06-28_05-39-31_camera102.mp4,Ķirurģija,DataSet1,4.0,5.0,39.0,31.0,64.5,52.4,7.5,5.0,3.8,5.0,3.7,3.0,0.6,23.8,0.0,0.0,0.0
2020-06-28_07-03-36_camera102.mp4,Ķirurģija,DataSet1,4.0,7.0,3.0,36.0,58.4,55.0,5.3,0.0,6.0,0.0,4.7,4.9,0.0,34.1,0.0,0.0,0.0
2020-06-28_07-04-55_camera102.mp4,Ķirurģija,DataSet1,1.0,7.0,4.0,55.0,27.7,14.2,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,0.0,0.0
2020-06-28_10-13-52_camera102.mp4,Ķirurģija,DataSet1,4.0,10.0,13.0,52.0,59.4,47.3,0.6,0.0,3.4,0.0,4.2,0.0,0.4,38.7,0.0,0.0,0.0
2020-06-28_14-22-04_camera102.mp4,Ķirurģija,DataSet1,4.0,14.0,22.0,4.0,77.6,67.9,3.5,6.7,4.3,0.0,7.8,16.7,0.7,28.2,0.0,0.0,0.0
2020-06-28_17-48-55_camera102.mp4,Ķirurģija,DataSet1,4.0,17.0,48.0,55.0,104.1,93.1,4.5,0.0,3.8,0.0,3.4,2.9,0.6,78.0,1.0,0.0,0.0
2020-06-28_23-42-10_camera102.mp4,Ķirurģija,DataSet1,4.0,23.0,42.0,10.0,54.9,45.5,0.5,0.0,2.1,0.0,7.4,0.0,0.8,34.6,0.0,0.0,0.0
2020-06-29_00-00-25_camera102.mp4,Ķirurģija,DataSet1,4.0,0.0,0.0,25.0,34.1,8.8,1.6,0.0,0.3,0.0,0.6,0.0,0.0,6.2,0.0,0.0,0.0
2020-06-29_00-05-17_camera102.mp4,Ķirurģija,DataSet1,4.0,0.0,5.0,17.0,46.1,38.9,0.8,0.0,3.3,0.0,3.2,0.0,0.5,31.0,0.0,0.0,0.0
2020-06-29_02-46-09_camera102.mp4,Ķirurģija,DataSet1,4.0,2.0,46.0,9.0,90.7,68.5,7.8,6.7,3.7,4.1,5.6,5.5,0.4,34.7,1.0,0.0,0.0
2020-06-29_03-12-14_camera102.mp4,Ķirurģija,DataSet1,4.0,3.0,12.0,14.0,64.6,39.7,3.6,3.6,1.1,3.3,5.8,0.0,0.0,22.2,1.0,0.0,0.0
2020-06-29_03-27-33_camera102.mp4,Ķirurģija,DataSet1,3.0,3.0,27.0,33.0,35.6,5.8,1.5,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0
2020-06-29_03-35-12_camera102.mp4,Ķirurģija,DataSet1,4.0,3.0,35.0,12.0,39.6,31.3,3.5,7.4,0.0,0.0,3.9,0.0,0.0,16.4,0.0,0.0,0.0
2020-06-29_03-36-37_camera102.mp4,Ķirurģija,DataSet1,4.0,3.0,36.0,37.0,59.6,25.3,0.3,3.4,1.5,2.0,8.1,0.0,0.0,10.1,0.0,0.0,0.0
2020-06-29_03-48-37_camera102.mp4,Ķirurģija,DataSet1,4.0,3.0,48.0,37.0,80.9,60.5,5.6,7.3,3.8,5.4,5.7,4.7,0.6,27.4,1.0,0.0,0.0
2020-06-29_04-01-15_camera102.mp4,Ķirurģija,DataSet1,3.0,4.0,1.0,15.0,30.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0
2020-06-29_04-19-33_camera102.mp4,Ķirurģija,DataSet1,3.0,4.0,19.0,33.0,64.0,33.3,13.9,0.0,0.0,4.6,0.0,0.0,0.0,14.8,0.0,0.0,0.0
2020-06-29_05-23-22_camera102.mp4,Ķirurģija,DataSet1,4.0,5.0,23.0,22.0,83.1,66.7,11.2,7.9,4.4,3.1,7.0,5.5,2.2,25.4,1.0,0.0,0.0
2020-06-29_06-30-03_camera102.mp4,Ķirurģija,DataSet1,4.0,6.0,30.0,3.0,59.0,36.8,5.7,0.0,4.5,4.4,4.5,3.2,0.0,14.6,1.0,0.0,0.0
2020-06-29_07-00-05_camera102.mp4,Ķirurģija,DataSet1,4.0,7.0,0.0,5.0,25.6,24.7,2.6,0.0,12.3,0.0,3.7,0.0,0.0,6.2,0.0,0.0,0.0
2020-06-29_07-00-55_camera102.mp4,Ķirurģija,DataSet1,3.0,7.0,0.0,55.0,57.2,33.5,6.8,0.0,0.0,2.4,0.0,0.0,0.0,24.2,0.0,0.0,0.0
2020-06-29_08-04-37_camera102.mp4,Ķirurģija,DataSet1,4.0,8.0,4.0,37.0,84.1,59.3,7.6,5.2,5.6,3.6,4.0,6.2,0.7,26.3,1.0,0.0,0.0
2020-06-29_08-33-30_camera102.mp4,Ķirurģija,DataSet1,4.0,8.0,33.0,30.0,83.1,44.1,8.7,0.0,4.5,0.0,7.2,0.0,0.0,23.7,0.0,0.0,0.0
2020-06-29_09-30-54_camera102.mp4,Ķirurģija,DataSet1,4.0,9.0,30.0,54.0,84.3,63.4,7.5,6.9,4.1,4.3,6.2,7.2,0.9,26.3,1.0,0.0,0.0
2020-06-29_11-36-50_camera102.mp4,Ķirurģija,DataSet1,4.0,11.0,36.0,50.0,25.2,25.0,9.0,0.0,3.6,0.0,2.5,0.0,0.0,9.8,0.0,0.0,0.0
2020-06-29_12-36-16_camera102.mp4,Ķirurģija,DataSet1,4.0,12.0,36.0,16.0,51.1,39.8,6.3,0.0,5.9,0.0,6.1,9.6,0.0,11.8,0.0,0.0,0.0
2020-06-29_13-18-15_camera102.mp4,Ķirurģija,DataSet1,4.0,13.0,18.0,15.0,69.4,57.7,8.7,0.0,12.7,0.0,7.0,8.0,0.0,21.2,0.0,0.0,0.0
2020-06-29_14-02-47_camera102.mp4,Ķirurģija,DataSet1,4.0,14.0,2.0,47.0,48.4,22.6,3.8,0.0,3.4,3.2,4.2,0.0,0.0,8.1,0.0,0.0,0.0
2020-06-29_14-30-35_camera102.mp4,Ķirurģija,DataSet1,4.0,14.0,30.0,35.0,26.0,11.6,2.2,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0
2020-06-29_15-21-02_camera102.mp4,Ķirurģija,DataSet1,4.0,15.0,21.0,2.0,78.2,57.1,5.3,4.6,4.1,3.5,4.5,5.9,0.8,28.5,1.0,0.0,0.0
2020-06-29_17-29-04_camera102.mp4,Ķirurģija,DataSet1,4.0,17.0,29.0,4.0,28.6,14.5,0.0,0.0,0.0,0.0,0.0,2.9,0.0,11.5,0.0,0.0,0.0
2020-06-29_23-15-54_camera102.mp4,Ķirurģija,DataSet1,4.0,23.0,15.0,54.0,74.2,52.5,7.6,6.5,4.0,2.1,3.9,3.8,1.9,22.6,1.0,0.0,0.0
2020-06-30_00-49-50_camera102.mp4,Ķirurģija,DataSet1,4.0,0.0,49.0,50.0,110.1,56.4,2.5,9.0,6.0,10.0,4.4,2.7,0.6,21.2,0.0,0.0,0.0
2020-06-30_01-22-44_camera102.mp4,Ķirurģija,DataSet1,4.0,1.0,22.0,44.0,67.6,41.1,2.7,0.0,9.4,0.0,6.5,9.6,0.0,12.9,0.0,0.0,0.0
2020-06-30_02-21-14_camera102.mp4,Ķirurģija,DataSet1,4.0,2.0,21.0,14.0,20.8,19.6,10.5,7.1,0.3,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0
2020-06-30_02-22-17_camera102.mp4,Ķirurģija,DataSet1,3.0,2.0,22.0,17.0,40.2,23.6,1.6,0.0,0.0,0.0,0.0,0.0,0.3,21.8,0.0,0.0,0.0
2020-06-30_03-29-53_camera102.mp4,Ķirurģija,DataSet1,4.0,3.0,29.0,53.0,60.7,52.4,5.3,5.3,5.9,7.0,5.9,7.5,0.7,14.9,0.0,0.0,0.0
2020-06-30_04-10-00_camera102.mp4,Ķirurģija,DataSet1,4.0,4.0,10.0,0.0,97.6,88.5,9.4,7.5,10.2,12.3,6.5,6.8,0.7,35.0,0.0,0.0,0.0
2020-06-30_04-12-14_camera102.mp4,Ķirurģija,DataSet1,4.0,4.0,12.0,14.0,79.1,61.8,3.0,7.4,8.1,9.4,6.1,3.2,0.7,23.8,0.0,0.0,0.0
2020-06-30_04-38-38_camera102.mp4,Ķirurģija,DataSet1,4.0,4.0,38.0,38.0,49.3,49.1,5.2,8.3,10.7,7.9,7.1,4.8,0.0,5.1,0.0,0.0,0.0
2020-06-30_04-39-34_camera102.mp4,Ķirurģija,DataSet1,3.0,4.0,39.0,34.0,28.2,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,16.0,0.0,0.0,0.0
2020-06-30_05-10-44_camera102.mp4,Ķirurģija,DataSet1,4.0,5.0,10.0,44.0,88.3,88.1,2.2,12.4,5.7,0.0,7.4,2.8,0.0,57.5,1.0,0.0,0.0
2020-06-30_05-39-33_camera102.mp4,Ķirurģija,DataSet1,4.0,5.0,39.0,33.0,100.4,83.1,9.4,2.9,6.9,9.1,11.0,12.4,0.8,30.5,1.0,0.0,0.0
2020-06-30_08-37-19_camera102.mp4,Ķirurģija,DataSet1,4.0,8.0,37.0,19.0,27.2,20.3,3.9,0.0,0.0,4.5,0.0,0.0,0.0,11.9,0.0,0.0,0.0
2020-06-30_09-22-35_camera102.mp4,Ķirurģija,DataSet1,4.0,9.0,22.0,35.0,53.5,53.3,7.3,6.3,21.0,2.3,0.0,0.0,0.0,16.4,0.0,0.0,0.0
2020-06-30_09-23-48_camera102.mp4,Ķirurģija,DataSet1,3.0,9.0,23.0,48.0,61.1,44.8,1.3,0.0,0.0,0.0,0.0,0.9,0.3,42.3,0.0,0.0,0.0
2020-06-30_10-47-58_camera101.mp4,Ķirurģija,DataSet1,2.0,10.0,47.0,58.0,35.2,33.9,3.6,8.7,4.9,7.0,5.2,0.0,0.0,4.5,0.0,0.0,0.0
2020-06-30_10-48-51_camera101.mp4,Ķirurģija,DataSet1,2.0,10.0,48.0,51.0,37.5,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,14.8,0.0,0.0,0.0
2020-06-30_13-08-45_camera101.mp4,Ķirurģija,DataSet1,2.0,13.0,8.0,45.0,40.8,28.6,2.8,3.3,1.6,4.7,2.6,0.0,0.2,13.5,0.0,0.0,0.0
2020-07-01_04-14-24_camera101.mp4,Ķirurģija,DataSet1,2.0,4.0,14.0,24.0,25.5,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.0,0.0,0.0
2020-07-01_07-13-30_camera101.mp4,Ķirurģija,DataSet1,2.0,7.0,13.0,30.0,26.2,22.1,1.8,4.7,1.7,2.5,3.3,0.0,0.0,8.0,0.0,0.0,0.0
2020-07-01_07-14-10_camera101.mp4,Ķirurģija,DataSet1,2.0,7.0,14.0,10.0,26.1,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0
2020-07-01_11-05-03_camera101.mp4,Ķirurģija,DataSet1,2.0,11.0,5.0,3.0,12.7,2.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0
2020-07-02_07-11-13_camera101.mp4,Ķirurģija,DataSet1,2.0,7.0,11.0,13.0,26.5,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.2,14.7,0.0,0.0,0.0
2020-07-03_01-07-58_camera101.mp4,Ķirurģija,DataSet1,2.0,1.0,7.0,58.0,36.9,8.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,1.0,0.0
